title,author,department,keywords,retrieve_date,abstract,published_date,url
面向供应链金融风险控制的社区发现方法,林家琪,福建省网络计算与智能信息处理重点实验室福州大学,社区发现|图对比学习|供应链金融风险控制,2023-05-15 07:31:53,针对现有图对比学习模型使用的随机数据增强策略可能会破坏网络中关键的社区结构、对比对选择策略可能将具有相似拓扑结构或属性的节点选为负样本等问题，本文提出了一种基于自适应图对比学习的社区发现算法，设计了一个考虑节点重要性的自适应图增强策略和一个基于K近邻的正负样本选择策略来解决以上问题。在真实网络上的实验表明，本文提出的方法在社区发现任务中取得了比现有最好算法高4%以上的准确性，在供应链金融风险控制任务中取得了比现有最好算法高3%以上的准确性。,2023-05-06,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=1&recid=&FileName=FJDN202305001&DbName=CJFDAUTO&DbCode=CJFD&yx=&pr=&URLID=
面向供应链金融风险控制的社区发现方法,冯璐,中国烟草总公司贵州省公司财务管理处,社区发现|图对比学习|供应链金融风险控制,2023-05-15 07:31:53,针对现有图对比学习模型使用的随机数据增强策略可能会破坏网络中关键的社区结构、对比对选择策略可能将具有相似拓扑结构或属性的节点选为负样本等问题，本文提出了一种基于自适应图对比学习的社区发现算法，设计了一个考虑节点重要性的自适应图增强策略和一个基于K近邻的正负样本选择策略来解决以上问题。在真实网络上的实验表明，本文提出的方法在社区发现任务中取得了比现有最好算法高4%以上的准确性，在供应链金融风险控制任务中取得了比现有最好算法高3%以上的准确性。,2023-05-06,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=1&recid=&FileName=FJDN202305001&DbName=CJFDAUTO&DbCode=CJFD&yx=&pr=&URLID=
面向供应链金融风险控制的社区发现方法,王克敏,中国烟草总公司贵州省公司烟叶处,社区发现|图对比学习|供应链金融风险控制,2023-05-15 07:31:53,针对现有图对比学习模型使用的随机数据增强策略可能会破坏网络中关键的社区结构、对比对选择策略可能将具有相似拓扑结构或属性的节点选为负样本等问题，本文提出了一种基于自适应图对比学习的社区发现算法，设计了一个考虑节点重要性的自适应图增强策略和一个基于K近邻的正负样本选择策略来解决以上问题。在真实网络上的实验表明，本文提出的方法在社区发现任务中取得了比现有最好算法高4%以上的准确性，在供应链金融风险控制任务中取得了比现有最好算法高3%以上的准确性。,2023-05-06,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=1&recid=&FileName=FJDN202305001&DbName=CJFDAUTO&DbCode=CJFD&yx=&pr=&URLID=
面向供应链金融风险控制的社区发现方法,郭昆,空间数据挖掘与信息共享教育部重点实验室,社区发现|图对比学习|供应链金融风险控制,2023-05-15 07:31:53,针对现有图对比学习模型使用的随机数据增强策略可能会破坏网络中关键的社区结构、对比对选择策略可能将具有相似拓扑结构或属性的节点选为负样本等问题，本文提出了一种基于自适应图对比学习的社区发现算法，设计了一个考虑节点重要性的自适应图增强策略和一个基于K近邻的正负样本选择策略来解决以上问题。在真实网络上的实验表明，本文提出的方法在社区发现任务中取得了比现有最好算法高4%以上的准确性，在供应链金融风险控制任务中取得了比现有最好算法高3%以上的准确性。,2023-05-06,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=1&recid=&FileName=FJDN202305001&DbName=CJFDAUTO&DbCode=CJFD&yx=&pr=&URLID=
基于复发瞬间链接间隔的动态网络社区发现,赵晓兵,浙江财经大学数据与科学学院,随机块模型|边际比例风险模型|变分EM算法|传染病防控,2023-05-15 07:32:14,纵向网络数据是较为常见的复杂网络数据，也是目前网络数据分析的热点之一。随机块模型是网络社区发现的经典模型，但是该模型无法直接用于模拟纵向网络数据。基于随机块模型，引入半参数比例风险模型去分析纵向网络数据，并利用随机块模型来描述复发瞬间链接间隔。结合变分EM算法，采用两步估计来分别估计模型参数和非参数部分，通过不同场景下的模拟试验来验证所提议模型的优良性，最后利用法国小学生的社交网络数据进行了实证分析。模拟和实证结果表明，在统计计算的时效和参数或非参数估计的精度上，本文所提出的网络数据模型和统计分析方法比现存文献的模型和方法具有较好的优势。,2023-03-27 12:22,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=3&recid=&FileName=TJLT202304001&DbName=CJFDAUTO&DbCode=CJFD&yx=A&pr=&URLID=61.1421.C.20230327.0859.006
基于复发瞬间链接间隔的动态网络社区发现,王佳顺,浙江财经大学数据与科学学院,随机块模型|边际比例风险模型|变分EM算法|传染病防控,2023-05-15 07:32:14,纵向网络数据是较为常见的复杂网络数据，也是目前网络数据分析的热点之一。随机块模型是网络社区发现的经典模型，但是该模型无法直接用于模拟纵向网络数据。基于随机块模型，引入半参数比例风险模型去分析纵向网络数据，并利用随机块模型来描述复发瞬间链接间隔。结合变分EM算法，采用两步估计来分别估计模型参数和非参数部分，通过不同场景下的模拟试验来验证所提议模型的优良性，最后利用法国小学生的社交网络数据进行了实证分析。模拟和实证结果表明，在统计计算的时效和参数或非参数估计的精度上，本文所提出的网络数据模型和统计分析方法比现存文献的模型和方法具有较好的优势。,2023-03-27 12:22,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=3&recid=&FileName=TJLT202304001&DbName=CJFDAUTO&DbCode=CJFD&yx=A&pr=&URLID=61.1421.C.20230327.0859.006
一种大规模异质信息网络中的局部社区发现算法,郭志坚,北方工业大学信息学院,,2023-05-15 07:32:34,<正>社区结构是复杂网络中的重要研究领域，也是复杂网络的重要特征之一，网络中的社区结构发现在理解网络功能方面有着重大意义。给定一个大规模异质信息网络，局部社区发现的目标是找到一个包含查询结点的同质社区，并最大化或最小化一种度量。本文研究了异质信息网络中的局部社区发现算法，提出了一个新的局部社区发现算法框架（Heterogeneous Local Community Detection）HLCD。该框架主要采用了基于元路径的相似性度量算法Hete Sim，来测量与查询结点类型相同的结点之间的相似性，通过随机游走给各个结点赋予权值，并用这些结点权值及结点之间的相似性来重新建图，,2023-03-25,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=5&recid=&FileName=SZJT202303001&DbName=CJFDAUTO&DbCode=CJFD&yx=&pr=&URLID=
一种大规模异质信息网络中的局部社区发现算法,白雨,北方工业大学信息学院,,2023-05-15 07:32:34,<正>社区结构是复杂网络中的重要研究领域，也是复杂网络的重要特征之一，网络中的社区结构发现在理解网络功能方面有着重大意义。给定一个大规模异质信息网络，局部社区发现的目标是找到一个包含查询结点的同质社区，并最大化或最小化一种度量。本文研究了异质信息网络中的局部社区发现算法，提出了一个新的局部社区发现算法框架（Heterogeneous Local Community Detection）HLCD。该框架主要采用了基于元路径的相似性度量算法Hete Sim，来测量与查询结点类型相同的结点之间的相似性，通过随机游走给各个结点赋予权值，并用这些结点权值及结点之间的相似性来重新建图，,2023-03-25,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=5&recid=&FileName=SZJT202303001&DbName=CJFDAUTO&DbCode=CJFD&yx=&pr=&URLID=
复杂图社区检测方法研究,刘悦,浙江大学,复杂图|社区发现|社区搜索|结构图|索引|剪枝|采样,2023-05-15 07:32:52,"图是由顶点和连边构成的数据结构。近年来,图数据受到学术界和工业界的广泛关注。中国信息通信研究院将大规模“图计算平台”列为“2022大数据十大关键词”之一。社区是图中稠密的子结构,它反映了图中相似个体的局部性特征和关联关系。例如,蛋白质网络中的社区体现了生物系统的组织和功能,社交网络中的社区体现了用户社群结构等。社区检测对理解图的结构至关重要。按是否包含查询点,研究者将社区检测划分为两个子问题:(1)社区发现,返回图中所有社区;(2)社区搜索,返回查询点所在的社区。现有的社区检测系统主要面向简单图,只关注如何高效地利用图结构信息。然而,现实中存在多元的复杂图数据,如属性图、不确定图等。复杂图的社区信息一部分通过图的连边结构表达,另一部分则蕴含在顶点属性、边权等元素中。在处理复杂图时,现有的社区检测方法欠缺对复杂图的定制设计,存在过度依赖输入参数、时间效率低等挑战,难以满足现实中高效检测复杂图社区的要求。针对上述挑战,本文从以下两个方面对社区检测的两个子问题展开研究,构建了面向复杂图社区检测的解决方案。(1)研究属性图自适应社区发现问题。现有的社区发现方法难以高效处理高维度顶点属性,且需要...",2023-03-10,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=7&FileName=1023467391.nh&DbName=CMFDTEMP&DbCode=CMFD
基于密度峰值的标签传播社区发现算法 网络首发,付立东,西安科技大学计算机科学与技术学院,密度峰值聚类|局部相似度|标签传播|社区发现,2023-05-15 07:33:10,"针对标签传播算法中节点启动顺序和更新标签的随机性造成的结果不稳定问题，提出一种新标签传播算法用于复杂网络社区检测(Density Peaks and Node Similarity,DPNS-LPA)，包括社区中心的确定和外围节点的标签传播。首先利用大度节点不利指标、Jaccard指标和度为1节点的结构特性刻画节点局部相似性指标，并用此指标度量节点间距离和解决最大标签相同时的随机选择；然后引入改进的密度峰值聚类算法寻找社区中心，确定社区数量；最后基于社区中心和外围节点的标签传播，得到最终的社区划分结果。通过人工网络和真实网络上的实验，结果表明标准化互信息、模块度和D-Score指标值优于对比算法，所提出的算法可以有效发现复杂网络中的社区结构，且鲁棒性更高。",2023-03-07 13:37,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=9&recid=&FileName=JSYJ2023030600L&DbName=CAPJLAST&DbCode=CAPJ&yx=Y&pr=&URLID=51.1196.TP.20230306.1143.021
